SaleID,Date,StoreID,StaffID,CustomerID
30090,07/03/2023,STORE07,STAFF1040,CUST18468
30091,16/08/2023,STORE01,STAFF1003,CUST19912
30092,16/03/2023,STORE09,STAFF1018,CUST16859
30093,06/12/2023,STORE06,STAFF1013,CUST18160
30094,19/02/2024,STORE09,STAFF1010,CUST17599
30095,27/06/2023,STORE04,STAFF1004,CUST18983
30096,29/01/2024,STORE03,STAFF1047,CUST14097
30097,01/06/2023,STORE06,STAFF1030,CUST16491
30098,17/03/2023,STORE05,STAFF1042,CUST11264
30099,14/12/2023,STORE10,STAFF1043,CUST10326
30100,26/04/2024,STORE09,STAFF1010,CUST17629
30101,14/09/2023,STORE05,STAFF1050,CUST19422
30102,27/05/2024,STORE03,STAFF1009,CUST14820
30103,12/03/2024,STORE02,STAFF1006,CUST18575
30104,11/06/2023,STORE05,STAFF1042,CUST13782
30105,04/11/2023,STORE05,STAFF1033,CUST15473
30106,16/04/2023,STORE03,STAFF1021,CUST11056
30107,30/05/2023,STORE03,STAFF1034,CUST19375
30108,27/02/2023,STORE02,STAFF1035,CUST16941
30109,16/04/2023,STORE05,STAFF1042,CUST17044
30110,20/12/2023,STORE07,STAFF1005,CUST19219
30111,26/06/2023,STORE08,STAFF1016,CUST17321
30112,18/02/2024,STORE08,STAFF1025,CUST17087
30113,24/05/2023,STORE02,STAFF1037,CUST15311
30114,24/02/2023,STORE04,STAFF1004,CUST12991
30115,07/05/2023,STORE03,STAFF1014,CUST18142
30116,02/01/2024,STORE10,STAFF1007,CUST19435
30117,14/04/2024,STORE01,STAFF1003,CUST10498
30118,25/02/2023,STORE03,STAFF1047,CUST13186
30119,03/05/2023,STORE10,STAFF1045,CUST15788
30120,14/12/2023,STORE06,STAFF1032,CUST13847
30121,02/06/2024,STORE02,STAFF1035,CUST15339
30122,04/02/2024,STORE09,STAFF1018,CUST12650
30123,25/09/2023,STORE08,STAFF1027,CUST10812
30124,16/06/2024,STORE04,STAFF1004,CUST17497
30125,08/07/2023,STORE09,STAFF1041,CUST15549
30126,04/01/2023,STORE06,STAFF1032,CUST12894
30127,25/11/2023,STORE02,STAFF1039,CUST19035
30128,08/03/2024,STORE02,STAFF1037,CUST11628
30129,11/08/2023,STORE07,STAFF1022,CUST18910
30130,12/03/2023,STORE02,STAFF1037,CUST18769
30131,18/02/2024,STORE07,STAFF1005,CUST17881
30132,04/03/2024,STORE10,STAFF1038,CUST19423
30133,11/02/2024,STORE03,STAFF1014,CUST18801
30134,21/07/2023,STORE06,STAFF1044,CUST15197
30135,20/01/2023,STORE05,STAFF1033,CUST10320
30136,06/09/2023,STORE08,STAFF1036,CUST19543
30137,27/04/2024,STORE08,STAFF1019,CUST15484
30138,19/02/2024,STORE02,STAFF1039,CUST10008
30139,29/03/2024,STORE03,STAFF1021,CUST11198
30140,06/02/2024,STORE02,STAFF1035,CUST15789
30141,24/04/2023,STORE04,STAFF1004,CUST18449
30142,31/03/2024,STORE04,STAFF1049,CUST15748
30143,28/06/2023,STORE08,STAFF1019,CUST16588
30144,19/02/2024,STORE05,STAFF1042,CUST14274
30145,22/05/2024,STORE09,STAFF1041,CUST17728
30146,05/03/2024,STORE02,STAFF1039,CUST11726
30147,16/09/2023,STORE05,STAFF1033,CUST12746
30148,09/04/2023,STORE06,STAFF1030,CUST15105
30149,29/03/2023,STORE08,STAFF1029,CUST10031
30150,16/09/2023,STORE10,STAFF1007,CUST11130
30151,31/10/2023,STORE08,STAFF1016,CUST13840
30152,19/08/2023,STORE04,STAFF1004,CUST10150
30153,15/02/2024,STORE10,STAFF1043,CUST16258
30154,27/04/2023,STORE09,STAFF1010,CUST16973
30155,02/05/2024,STORE09,STAFF1018,CUST10450
30156,08/08/2023,STORE06,STAFF1032,CUST11707
30157,20/05/2023,STORE07,STAFF1048,CUST10555
30158,06/06/2023,STORE09,STAFF1046,CUST12295
30159,22/04/2024,STORE04,STAFF1004,CUST12564
30160,30/11/2023,STORE01,STAFF1003,CUST15214
30161,19/01/2024,STORE10,STAFF1045,CUST11342
30162,12/02/2023,STORE07,STAFF1022,CUST14827
30163,21/06/2024,STORE04,STAFF1008,CUST18026
30164,01/03/2023,STORE01,STAFF1003,CUST16355
30165,24/06/2024,STORE09,STAFF1018,CUST16164
30166,11/07/2023,STORE03,STAFF1034,CUST14294
30167,20/12/2023,STORE04,STAFF1049,CUST18870
30168,09/08/2023,STORE08,STAFF1027,CUST19913
30169,18/05/2023,STORE04,STAFF1049,CUST15600
30170,07/07/2023,STORE01,STAFF1003,CUST13432
30171,09/10/2023,STORE03,STAFF1009,CUST13465
30172,13/01/2024,STORE02,STAFF1006,CUST10673
30173,09/10/2023,STORE01,STAFF1003,CUST14457
30174,03/05/2023,STORE10,STAFF1007,CUST19225
30175,29/01/2024,STORE06,STAFF1020,CUST12502
30176,15/10/2023,STORE10,STAFF1026,CUST15906
30177,23/03/2024,STORE09,STAFF1011,CUST10610
30178,14/04/2023,STORE05,STAFF1042,CUST19537
30179,10/07/2023,STORE08,STAFF1012,CUST16401
30180,25/03/2023,STORE09,STAFF1018,CUST17036
30181,21/01/2023,STORE01,STAFF1003,CUST19135
30182,03/01/2024,STORE04,STAFF1024,CUST12545
30183,17/02/2024,STORE03,STAFF1021,CUST17436
30184,26/06/2023,STORE04,STAFF1004,CUST14177
30185,28/02/2024,STORE05,STAFF1042,CUST13486
30186,29/11/2023,STORE03,STAFF1047,CUST19779
30187,30/07/2023,STORE02,STAFF1006,CUST18496
30188,05/01/2023,STORE01,STAFF1003,CUST19156
30189,27/06/2023,STORE07,STAFF1017,CUST16430
30190,18/10/2023,STORE06,STAFF1044,CUST16527
30191,10/02/2024,STORE08,STAFF1012,CUST18642
30192,16/05/2023,STORE05,STAFF1042,CUST10323
30193,16/02/2023,STORE07,STAFF1005,CUST10210
30194,25/05/2024,STORE07,STAFF1040,CUST18591
30195,15/01/2023,STORE03,STAFF1034,CUST14940
30196,06/02/2023,STORE09,STAFF1046,CUST11494
30197,10/06/2024,STORE03,STAFF1014,CUST11146
30198,25/01/2024,STORE03,STAFF1047,CUST13788
30199,09/05/2024,STORE02,STAFF1035,CUST16532
30200,21/01/2024,STORE07,STAFF1005,CUST11037
30201,11/10/2023,STORE07,STAFF1048,CUST14477
30202,30/12/2023,STORE08,STAFF1036,CUST14339
30203,21/01/2024,STORE05,STAFF1033,CUST15530
30204,11/03/2024,STORE09,STAFF1046,CUST18277
30205,14/03/2024,STORE03,STAFF1047,CUST15820
30206,13/09/2023,STORE02,STAFF1035,CUST16824
30207,23/05/2023,STORE07,STAFF1022,CUST11682
30208,20/01/2023,STORE07,STAFF1022,CUST19655
30209,03/07/2023,STORE10,STAFF1038,CUST15624
30210,21/04/2024,STORE03,STAFF1009,CUST16916
30211,08/12/2023,STORE05,STAFF1042,CUST11267
30212,22/01/2023,STORE09,STAFF1041,CUST12578
30213,21/12/2023,STORE07,STAFF1048,CUST19640
30214,02/05/2023,STORE07,STAFF1005,CUST19573
30215,30/04/2024,STORE05,STAFF1050,CUST15235
30216,21/02/2024,STORE09,STAFF1018,CUST19916
30217,01/03/2024,STORE05,STAFF1033,CUST15133
30218,30/01/2024,STORE10,STAFF1028,CUST10370
30219,18/04/2024,STORE05,STAFF1050,CUST10002
30220,28/05/2024,STORE02,STAFF1035,CUST16101
30221,27/04/2024,STORE01,STAFF1003,CUST18457
30222,19/04/2024,STORE02,STAFF1006,CUST15150
30223,19/03/2024,STORE08,STAFF1036,CUST18235
30224,23/11/2023,STORE06,STAFF1032,CUST10915
30225,16/07/2023,STORE07,STAFF1048,CUST13810
30226,17/04/2024,STORE04,STAFF1049,CUST12498
30227,24/09/2023,STORE03,STAFF1021,CUST16189
30228,27/05/2024,STORE05,STAFF1033,CUST16800
30229,03/01/2023,STORE03,STAFF1031,CUST15434
30230,11/09/2023,STORE08,STAFF1001,CUST12035
30231,31/10/2023,STORE05,STAFF1042,CUST13761
30232,18/05/2023,STORE08,STAFF1001,CUST16215
30233,21/01/2024,STORE04,STAFF1004,CUST17746
30234,13/06/2024,STORE06,STAFF1032,CUST19642
30235,17/02/2024,STORE02,STAFF1006,CUST16518
30236,02/04/2023,STORE04,STAFF1008,CUST14183
30237,04/01/2023,STORE02,STAFF1039,CUST14050
30238,16/04/2023,STORE07,STAFF1048,CUST13473
30239,31/12/2023,STORE06,STAFF1044,CUST17331
30240,18/04/2024,STORE02,STAFF1035,CUST19823
30241,20/12/2023,STORE01,STAFF1003,CUST18101
30242,13/02/2023,STORE01,STAFF1003,CUST14161
30243,10/02/2023,STORE03,STAFF1047,CUST13614
30244,29/07/2023,STORE01,STAFF1003,CUST10316
30245,14/02/2023,STORE07,STAFF1040,CUST17843
30246,01/08/2023,STORE03,STAFF1009,CUST10300
30247,02/09/2023,STORE01,STAFF1003,CUST13583
30248,05/05/2024,STORE07,STAFF1040,CUST17264
30249,12/12/2023,STORE01,STAFF1003,CUST10865
30250,27/05/2023,STORE08,STAFF1001,CUST10070
30251,07/05/2024,STORE09,STAFF1018,CUST18359
30252,02/02/2024,STORE04,STAFF1004,CUST10506
30253,24/04/2024,STORE06,STAFF1030,CUST10311
30254,16/05/2023,STORE06,STAFF1044,CUST17686
30255,13/03/2023,STORE03,STAFF1047,CUST17023
30256,04/02/2024,STORE07,STAFF1022,CUST11428
30257,27/10/2023,STORE06,STAFF1030,CUST19082
30258,23/06/2023,STORE04,STAFF1004,CUST15552
30259,09/05/2024,STORE02,STAFF1039,CUST11314
30260,02/06/2023,STORE09,STAFF1018,CUST18372
30261,20/11/2023,STORE01,STAFF1003,CUST19178
30262,17/08/2023,STORE10,STAFF1038,CUST12312
30263,09/01/2024,STORE01,STAFF1003,CUST15735
30264,27/09/2023,STORE08,STAFF1027,CUST12929
30265,28/08/2023,STORE02,STAFF1037,CUST12523
30266,16/03/2023,STORE04,STAFF1049,CUST11619
30267,16/05/2023,STORE01,STAFF1003,CUST18582
30268,05/06/2024,STORE07,STAFF1022,CUST16265
30269,10/05/2024,STORE02,STAFF1035,CUST19038
30270,01/12/2023,STORE08,STAFF1001,CUST19118
30271,06/01/2023,STORE09,STAFF1011,CUST18989
30272,05/06/2024,STORE05,STAFF1050,CUST18733
30273,16/10/2023,STORE06,STAFF1030,CUST14734
30274,27/05/2023,STORE05,STAFF1050,CUST14738
30275,01/07/2023,STORE06,STAFF1015,CUST13020
30276,17/11/2023,STORE07,STAFF1005,CUST12332
30277,21/06/2024,STORE08,STAFF1027,CUST13635
30278,08/01/2024,STORE09,STAFF1011,CUST13302
30279,21/02/2023,STORE05,STAFF1023,CUST12704
30280,05/11/2023,STORE10,STAFF1026,CUST13338
30281,27/09/2023,STORE10,STAFF1007,CUST15943
30282,02/02/2023,STORE02,STAFF1035,CUST17257
30283,20/06/2023,STORE10,STAFF1028,CUST13324
30284,15/01/2023,STORE04,STAFF1049,CUST13318
30285,04/01/2023,STORE06,STAFF1044,CUST18545
30286,20/01/2024,STORE08,STAFF1012,CUST19233
30287,24/02/2023,STORE07,STAFF1048,CUST18087
30288,22/01/2024,STORE02,STAFF1037,CUST12039
30289,20/08/2023,STORE07,STAFF1048,CUST12333
30290,03/11/2023,STORE05,STAFF1042,CUST17132
30291,19/03/2023,STORE08,STAFF1001,CUST16127
30292,11/02/2023,STORE02,STAFF1006,CUST11880
30293,16/06/2024,STORE03,STAFF1009,CUST15774
30294,30/09/2023,STORE03,STAFF1021,CUST18122
30295,24/02/2023,STORE02,STAFF1006,CUST15094
30296,20/06/2023,STORE01,STAFF1003,CUST16885
30297,31/05/2023,STORE04,STAFF1049,CUST12993
30298,07/01/2023,STORE01,STAFF1003,CUST10535
30299,31/05/2023,STORE08,STAFF1012,CUST18825
30300,14/03/2023,STORE07,STAFF1005,CUST16558
30301,11/02/2024,STORE05,STAFF1050,CUST11672
30302,03/06/2024,STORE02,STAFF1037,CUST10473
30303,24/05/2023,STORE09,STAFF1041,CUST15197
30304,21/01/2023,STORE09,STAFF1010,CUST12874
30305,06/01/2023,STORE02,STAFF1037,CUST10804
30306,17/05/2024,STORE08,STAFF1036,CUST18666
30307,04/10/2023,STORE01,STAFF1003,CUST15405
30308,24/04/2023,STORE03,STAFF1031,CUST17986
30309,11/09/2023,STORE01,STAFF1003,CUST10959
30310,16/11/2023,STORE02,STAFF1035,CUST18286
30311,20/01/2024,STORE07,STAFF1005,CUST18663
30312,08/02/2024,STORE09,STAFF1046,CUST12814
30313,20/04/2023,STORE09,STAFF1041,CUST19357
30314,11/12/2023,STORE08,STAFF1027,CUST11380
30315,20/08/2023,STORE03,STAFF1014,CUST14588
30316,03/01/2023,STORE04,STAFF1004,CUST12983
30317,07/05/2024,STORE01,STAFF1003,CUST12500
30318,25/01/2023,STORE04,STAFF1024,CUST19467
30319,12/03/2023,STORE03,STAFF1034,CUST18447
30320,10/05/2024,STORE08,STAFF1027,CUST18489
30321,06/09/2023,STORE10,STAFF1007,CUST19477
30322,06/09/2023,STORE03,STAFF1014,CUST11736
30323,14/05/2023,STORE10,STAFF1028,CUST16423
30324,15/11/2023,STORE07,STAFF1017,CUST14680
30325,23/10/2023,STORE03,STAFF1047,CUST16524
30326,14/12/2023,STORE02,STAFF1006,CUST10637
30327,30/03/2023,STORE09,STAFF1046,CUST13659
30328,08/04/2024,STORE08,STAFF1012,CUST18998
30329,05/07/2023,STORE01,STAFF1003,CUST11246
30330,06/03/2024,STORE04,STAFF1004,CUST13477
30331,09/04/2024,STORE05,STAFF1023,CUST15022
30332,09/03/2024,STORE02,STAFF1035,CUST19686
30333,10/09/2023,STORE04,STAFF1008,CUST18849
30334,04/11/2023,STORE07,STAFF1048,CUST15385
30335,05/06/2024,STORE08,STAFF1016,CUST15176
30336,03/09/2023,STORE09,STAFF1011,CUST16763
30337,28/08/2023,STORE03,STAFF1009,CUST15012
30338,26/12/2023,STORE03,STAFF1014,CUST17839
30339,02/07/2023,STORE06,STAFF1032,CUST12119
30340,26/02/2023,STORE05,STAFF1033,CUST14352
30341,15/08/2023,STORE02,STAFF1006,CUST10936
30342,01/05/2023,STORE01,STAFF1003,CUST10976
30343,28/09/2023,STORE01,STAFF1003,CUST19746
30344,29/04/2024,STORE01,STAFF1003,CUST17247
30345,24/07/2023,STORE03,STAFF1031,CUST18428
30346,15/01/2023,STORE09,STAFF1010,CUST15843
30347,08/05/2023,STORE10,STAFF1043,CUST14954
30348,04/03/2023,STORE09,STAFF1018,CUST19295
30349,23/02/2024,STORE06,STAFF1030,CUST11089
30350,13/06/2023,STORE02,STAFF1037,CUST18434
30351,04/12/2023,STORE07,STAFF1040,CUST14004
30352,13/03/2024,STORE05,STAFF1042,CUST17591
30353,10/11/2023,STORE09,STAFF1046,CUST18411
30354,09/10/2023,STORE06,STAFF1032,CUST15694
30355,05/08/2023,STORE07,STAFF1022,CUST11493
30356,15/10/2023,STORE10,STAFF1045,CUST17492
30357,25/05/2023,STORE07,STAFF1022,CUST13658
30358,25/02/2024,STORE10,STAFF1038,CUST13501
30359,09/03/2023,STORE05,STAFF1050,CUST10678
30360,17/06/2023,STORE02,STAFF1006,CUST10330
30361,17/08/2023,STORE08,STAFF1016,CUST12282
30362,22/05/2023,STORE09,STAFF1011,CUST19792
30363,07/11/2023,STORE01,STAFF1003,CUST11612
30364,16/06/2024,STORE10,STAFF1007,CUST18590
30365,09/10/2023,STORE01,STAFF1003,CUST19175
30366,24/07/2023,STORE03,STAFF1021,CUST18062
30367,07/03/2023,STORE03,STAFF1031,CUST12642
30368,07/06/2023,STORE03,STAFF1021,CUST16905
30369,12/01/2024,STORE02,STAFF1039,CUST18191
30370,23/05/2024,STORE08,STAFF1036,CUST12521
30371,20/05/2024,STORE04,STAFF1049,CUST16265
30372,17/06/2023,STORE09,STAFF1010,CUST10596
30373,13/06/2024,STORE05,STAFF1042,CUST12888
30374,09/02/2023,STORE10,STAFF1045,CUST13579
30375,19/01/2023,STORE05,STAFF1050,CUST17560
30376,01/08/2023,STORE05,STAFF1033,CUST12286
30377,30/01/2023,STORE04,STAFF1008,CUST15076
30378,08/04/2024,STORE02,STAFF1035,CUST18280
30379,09/06/2024,STORE08,STAFF1025,CUST17708
30380,10/04/2023,STORE02,STAFF1037,CUST11144
30381,27/05/2023,STORE08,STAFF1012,CUST15527
30382,15/04/2023,STORE07,STAFF1017,CUST19787
30383,21/05/2023,STORE05,STAFF1023,CUST14854
30384,26/05/2024,STORE05,STAFF1050,CUST17703
30385,20/04/2023,STORE07,STAFF1005,CUST19419
30386,21/06/2024,STORE02,STAFF1037,CUST15138
30387,09/07/2023,STORE06,STAFF1020,CUST18412
30388,14/04/2024,STORE05,STAFF1023,CUST19579
30389,27/04/2024,STORE07,STAFF1048,CUST18615
30390,02/03/2023,STORE01,STAFF1003,CUST10989
30391,16/04/2024,STORE07,STAFF1048,CUST19952
30392,14/06/2024,STORE07,STAFF1022,CUST13098
30393,01/04/2024,STORE03,STAFF1014,CUST15530
30394,22/12/2023,STORE07,STAFF1040,CUST15762
30395,22/08/2023,STORE03,STAFF1014,CUST12861
30396,23/05/2024,STORE04,STAFF1004,CUST16362
30397,04/09/2023,STORE06,STAFF1020,CUST10422
30398,18/12/2023,STORE06,STAFF1015,CUST15126
30399,07/02/2023,STORE07,STAFF1005,CUST10097
30400,16/06/2023,STORE10,STAFF1043,CUST19738
30401,19/01/2023,STORE03,STAFF1031,CUST12840
30402,09/09/2023,STORE01,STAFF1003,CUST14593
30403,12/06/2023,STORE07,STAFF1005,CUST10242
30404,05/06/2023,STORE02,STAFF1039,CUST14346
30405,06/10/2023,STORE07,STAFF1048,CUST12083
30406,08/09/2023,STORE08,STAFF1029,CUST15269
30407,16/04/2023,STORE04,STAFF1049,CUST16847
30408,15/03/2024,STORE01,STAFF1003,CUST10508
30409,12/09/2023,STORE05,STAFF1033,CUST10453
30410,22/10/2023,STORE04,STAFF1008,CUST19192
30411,23/08/2023,STORE04,STAFF1049,CUST12206
30412,17/04/2024,STORE04,STAFF1004,CUST14026
30413,13/12/2023,STORE06,STAFF1030,CUST13485
30414,30/05/2023,STORE08,STAFF1027,CUST12498
30415,07/03/2023,STORE06,STAFF1020,CUST17352
30416,23/02/2023,STORE01,STAFF1003,CUST14592
30417,07/02/2023,STORE09,STAFF1010,CUST19515
30418,03/04/2023,STORE07,STAFF1005,CUST13621
30419,01/12/2023,STORE08,STAFF1025,CUST16477
30420,17/01/2024,STORE01,STAFF1003,CUST13231
30421,03/11/2023,STORE02,STAFF1037,CUST16923
30422,09/04/2024,STORE10,STAFF1026,CUST14812
30423,07/10/2023,STORE08,STAFF1029,CUST14503
30424,21/04/2023,STORE01,STAFF1003,CUST19995
30425,29/03/2024,STORE08,STAFF1025,CUST14048
30426,14/12/2023,STORE07,STAFF1017,CUST13639
30427,06/08/2023,STORE04,STAFF1024,CUST15445
30428,04/03/2024,STORE08,STAFF1019,CUST14355
30429,30/11/2023,STORE02,STAFF1039,CUST19144
30430,21/09/2023,STORE01,STAFF1003,CUST15116
30431,16/02/2023,STORE05,STAFF1033,CUST14776
30432,28/04/2024,STORE03,STAFF1021,CUST12926
30433,15/04/2023,STORE09,STAFF1011,CUST15338
30434,17/12/2023,STORE07,STAFF1040,CUST12074
30435,14/07/2023,STORE05,STAFF1033,CUST17008
30436,19/02/2023,STORE09,STAFF1010,CUST12176
30437,06/10/2023,STORE09,STAFF1010,CUST14782
30438,28/02/2023,STORE10,STAFF1026,CUST17983
30439,05/01/2023,STORE04,STAFF1024,CUST10297
30440,27/09/2023,STORE01,STAFF1003,CUST16981
30441,02/10/2023,STORE02,STAFF1006,CUST17463
30442,31/08/2023,STORE02,STAFF1037,CUST18386
30443,11/05/2024,STORE02,STAFF1037,CUST11543
30444,27/11/2023,STORE02,STAFF1039,CUST12819
30445,25/06/2023,STORE09,STAFF1046,CUST11188
30446,01/02/2024,STORE08,STAFF1036,CUST13769
30447,10/03/2024,STORE07,STAFF1048,CUST19288
30448,06/02/2023,STORE05,STAFF1033,CUST16995
30449,19/12/2023,STORE02,STAFF1037,CUST18594
30450,12/01/2024,STORE07,STAFF1017,CUST19814
30451,29/07/2023,STORE01,STAFF1003,CUST14688
30452,27/08/2023,STORE03,STAFF1034,CUST17806
30453,01/10/2023,STORE05,STAFF1023,CUST11842
30454,04/03/2023,STORE01,STAFF1003,CUST10890
30455,28/08/2023,STORE05,STAFF1023,CUST16886
30456,07/10/2023,STORE01,STAFF1003,CUST19205
30457,27/10/2023,STORE07,STAFF1017,CUST14710
30458,09/08/2023,STORE01,STAFF1003,CUST11875
30459,16/05/2023,STORE02,STAFF1006,CUST17969
30460,23/08/2023,STORE05,STAFF1042,CUST14892
30461,24/02/2024,STORE07,STAFF1022,CUST16517
30462,01/05/2023,STORE01,STAFF1003,CUST13006
30463,04/04/2023,STORE08,STAFF1027,CUST11543
30464,19/05/2023,STORE09,STAFF1011,CUST11147
30465,24/05/2023,STORE06,STAFF1020,CUST14655
30466,13/08/2023,STORE01,STAFF1003,CUST15892
30467,20/08/2023,STORE05,STAFF1033,CUST16914
30468,22/05/2024,STORE01,STAFF1003,CUST14282
30469,15/06/2023,STORE02,STAFF1039,CUST10114
30470,24/03/2023,STORE06,STAFF1015,CUST11743
30471,10/02/2023,STORE07,STAFF1022,CUST14947
30472,19/05/2024,STORE04,STAFF1024,CUST15187
30473,08/04/2024,STORE07,STAFF1048,CUST12293
30474,31/01/2024,STORE07,STAFF1022,CUST17813
30475,17/03/2023,STORE07,STAFF1040,CUST14266
30476,04/04/2024,STORE08,STAFF1019,CUST12746
30477,10/08/2023,STORE08,STAFF1019,CUST13090
30478,13/07/2023,STORE05,STAFF1050,CUST18373
30479,03/04/2023,STORE09,STAFF1010,CUST10229
30480,03/05/2024,STORE04,STAFF1004,CUST11347
30481,01/02/2024,STORE08,STAFF1016,CUST10822
30482,14/10/2023,STORE07,STAFF1048,CUST18583
30483,24/04/2024,STORE08,STAFF1019,CUST15533
30484,22/07/2023,STORE09,STAFF1011,CUST15019
30485,29/12/2023,STORE08,STAFF1019,CUST15713
30486,27/06/2023,STORE03,STAFF1031,CUST16569
30487,13/01/2023,STORE10,STAFF1045,CUST16166
30488,18/06/2024,STORE01,STAFF1003,CUST10194
30489,07/10/2023,STORE05,STAFF1042,CUST15931
30490,23/10/2023,STORE04,STAFF1004,CUST12663
30491,11/06/2024,STORE07,STAFF1048,CUST16990
30492,29/12/2023,STORE03,STAFF1034,CUST18144
30493,29/01/2023,STORE10,STAFF1043,CUST16819
30494,10/01/2024,STORE09,STAFF1010,CUST12428
30495,19/03/2023,STORE03,STAFF1034,CUST10639
30496,28/12/2023,STORE03,STAFF1009,CUST16687
30497,13/05/2023,STORE09,STAFF1041,CUST14885
30498,10/03/2023,STORE07,STAFF1017,CUST16078
